H,Li,Be,B,C,N,Na,Mg,Al,Si,P,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Rb,Sr,Y,Zr,Nb,Mo,Tc,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Cs,Ba,La,Ce,Pr,Nd,Pm,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Pu
P,0.5,-45.5,-3.5,0.5,-4.5,-24.5,-26.5,-39.5,-20.5,-25.5,0.0,-24.5,-81.5,-112.5,-100.5,-70.5,-49.5,-57.5,-39.5,-35.5,-34.5,-17.5,-17.5,-18.5,-17.0,-2.5,-24.5,-81.5,-113.5,-127.5,-89.5,-53.5,-33.5,-30.5,-34.5,-36.5,-18.5,-11.5,-10.5,-7.5,2.5,-24.5,-85.5,-112.5,-112.5,-112.5,-112.5,-114.5,-113.5,-79.5,-113.5,-113.5,-112.5,-111.5,-113.5,-112.5,-80.5,-114.5,-117.5,-89.5,-46.5,-32.5,-29.5,-30.5,-34.5,-13.5,-4.5,-1.5,4.5,5.5,-119.5,-98.5,-95.5
K,-16.0,11.0,27.0,27.0,-43.0,-152.0,1.0,20.0,23.0,-4.0,-24.5,0.0,12.0,58.0,94.0,96.0,91.0,66.0,81.0,55.0,45.0,25.0,13.0,12.0,-19.5,-11.0,0.0,7.0,50.0,88.0,123.0,120.0,65.0,60.0,31.0,-9.0,7.0,1.0,-4.0,-7.0,-22.0,0.0,6.0,46.0,47.0,49.0,49.0,51.0,50.0,10.0,50.0,52.0,51.0,51.0,53.0,52.0,12.0,55.0,92.0,119.0,124.0,95.0,70.0,42.0,9.0,-9.0,-10.0,-13.0,-21.0,-24.0,65.0,93.0,72.0
Ca,-46.0,-1.0,-14.0,-22.0,-89.0,-201.0,1.0,-6.0,-20.0,-51.0,-81.5,12.0,0.0,17.0,43.0,44.0,38.0,19.0,25.0,2.0,-7.0,-13.0,-22.0,-28.0,-59.5,-61.0,15.0,1.0,11.0,37.0,63.0,56.0,1.0,-4.0,-28.0,-63.0,-28.0,-32.0,-35.0,-45.0,-62.0,19.0,1.0,8.0,9.0,10.0,10.0,11.0,11.0,0.0,11.0,12.0,12.0,11.0,13.0,13.0,0.0,14.0,39.0,60.0,57.0,28.0,4.0,-23.0,-55.0,-60.0,-43.0,-40.0,-52.0,-56.0,19.0,37.0,24.0
Sc,-60.0,12.0,-36.0,-55.0,-118.0,-224.0,34.0,-3.0,-38.0,-74.0,-112.5,58.0,17.0,0.0,8.0,7.0,1.0,-8.0,-11.0,-30.0,-39.0,-24.0,-29.0,-38.0,-69.5,-77.0,64.0,25.0,1.0,4.0,18.0,11.0,-39.0,-44.0,-61.0,-86.0,-28.0,-30.0,-30.0,-45.0,-61.0,70.0,28.0,2.0,2.0,1.0,2.0,1.0,1.0,21.0,1.0,1.0,1.0,1.0,0.0,0.0,16.0,0.0,5.0,16.0,9.0,-17.0,-39.0,-62.0,-89.0,-74.0,-37.0,-28.0,-40.0,-46.0,0.0,3.0,-1.0
Ti,-54.0,34.0,-30.0,-58.0,-109.0,-190.0,68.0,16.0,-30.0,-66.0,-100.5,94.0,43.0,8.0,0.0,-2.0,-7.0,-8.0,-17.0,-28.0,-35.0,-9.0,-15.0,-23.0,-51.5,-60.0,100.0,53.0,15.0,0.0,2.0,-4.0,-39.0,-43.0,-52.0,-65.0,-2.0,-8.0,-5.0,-21.0,-33.0,104.0,57.0,20.0,18.0,17.0,17.0,15.0,15.0,48.0,15.0,14.0,14.0,14.0,13.0,12.0,41.0,11.0,0.0,1.0,-6.0,-25.0,-41.0,-57.0,-74.0,-47.0,-10.0,2.0,-8.0,-14.0,8.0,0.0,2.0
V,-39.0,37.0,-16.0,-42.0,-82.0,-143.0,73.0,23.0,-16.0,-48.0,-70.5,96.0,44.0,7.0,-2.0,0.0,-2.0,-1.0,-7.0,-14.0,-18.0,5.0,-2.0,-8.0,-31.5,-35.0,100.0,54.0,17.0,-4.0,-1.0,0.0,-21.0,-25.0,-29.0,-35.0,17.0,9.0,12.0,-1.0,-8.0,103.0,57.0,22.0,20.0,18.0,18.0,16.0,17.0,49.0,17.0,15.0,15.0,16.0,14.0,13.0,43.0,11.0,-2.0,-1.0,-1.0,-13.0,-23.0,-34.0,-45.0,-19.0,10.0,22.0,15.0,10.0,9.0,1.0,4.0
Cr,-28.0,35.0,-7.0,-31.0,-61.0,-107.0,71.0,24.0,-10.0,-37.0,-49.5,91.0,38.0,1.0,-7.0,-2.0,0.0,2.0,-1.0,-4.0,-7.0,12.0,5.0,-1.0,-18.5,-19.0,94.0,47.0,11.0,-12.0,-7.0,0.0,-9.0,-12.0,-13.0,-15.0,27.0,17.0,20.0,10.0,7.0,97.0,50.0,17.0,15.0,13.0,13.0,10.0,11.0,43.0,11.0,9.0,9.0,10.0,8.0,8.0,37.0,5.0,-9.0,-7.0,1.0,-4.0,-11.0,-18.0,-24.0,0.0,21.0,31.0,28.0,24.0,2.0,-3.0,2.0
Mn,-34.0,19.0,-10.0,-32.0,-66.0,-119.0,49.0,10.0,-19.0,-45.0,-57.5,66.0,19.0,-8.0,-8.0,-1.0,2.0,0.0,0.0,-5.0,-8.0,4.0,-6.0,-13.0,-31.5,-31.0,69.0,27.0,-1.0,-15.0,-4.0,5.0,-8.0,-11.0,-16.0,-23.0,13.0,2.0,3.0,-7.0,-11.0,71.0,29.0,3.0,1.0,0.0,0.0,-2.0,-1.0,23.0,-1.0,-3.0,-3.0,-2.0,-4.0,-4.0,19.0,-6.0,-12.0,-4.0,6.0,-1.0,-9.0,-18.0,-28.0,-11.0,4.0,11.0,7.0,3.0,-8.0,-5.0,-4.0
Fe,-23.0,26.0,-4.0,-26.0,-50.0,-87.0,62.0,18.0,-11.0,-35.0,-39.5,81.0,25.0,-11.0,-17.0,-7.0,-1.0,0.0,0.0,-1.0,-2.0,13.0,4.0,-2.0,-15.5,-14.0,83.0,34.0,-1.0,-25.0,-16.0,-2.0,-3.0,-5.0,-5.0,-4.0,28.0,17.0,19.0,11.0,10.0,85.0,37.0,5.0,3.0,1.0,1.0,-2.0,-1.0,30.0,-1.0,-3.0,-3.0,-2.0,-5.0,-5.0,25.0,-7.0,-21.0,-15.0,0.0,0.0,-4.0,-9.0,-13.0,8.0,22.0,31.0,29.0,26.0,-11.0,-11.0,-6.0
Co,-23.0,8.0,-4.0,-24.0,-42.0,-75.0,41.0,3.0,-19.0,-38.0,-35.5,55.0,2.0,-30.0,-28.0,-14.0,-4.0,-5.0,-1.0,0.0,0.0,6.0,-5.0,-11.0,-21.5,-18.0,57.0,10.0,-22.0,-41.0,-25.0,-5.0,0.0,-1.0,-2.0,-1.0,19.0,6.0,7.0,0.0,2.0,58.0,11.0,-17.0,-18.0,-20.0,-20.0,-23.0,-22.0,7.0,-22.0,-23.0,-23.0,-22.0,-24.0,-24.0,2.0,-27.0,-35.0,-24.0,-1.0,2.0,0.0,-3.0,-7.0,7.0,12.0,18.0,17.0,14.0,-30.0,-23.0,-19.0
Ni,-23.0,1.0,-4.0,-24.0,-39.0,-69.0,32.0,-4.0,-22.0,-40.0,-34.5,45.0,-7.0,-39.0,-35.0,-18.0,-7.0,-8.0,-2.0,0.0,0.0,4.0,-9.0,-15.0,-23.5,-19.0,47.0,-1.0,-31.0,-49.0,-30.0,-7.0,1.0,0.0,-1.0,0.0,15.0,2.0,2.0,-4.0,-1.0,48.0,0.0,-27.0,-28.0,-30.0,-30.0,-32.0,-31.0,-3.0,-31.0,-32.0,-32.0,-31.0,-34.0,-34.0,-7.0,-36.0,-42.0,-29.0,-3.0,2.0,1.0,-2.0,-5.0,7.0,8.0,13.0,13.0,10.0,-39.0,-29.0,-25.0
Cu,-6.0,-5.0,0.0,0.0,-33.0,-84.0,16.0,-3.0,-1.0,-19.0,-17.5,25.0,-13.0,-24.0,-9.0,5.0,12.0,4.0,13.0,6.0,4.0,0.0,1.0,1.0,-11.5,-3.0,27.0,-9.0,-22.0,-23.0,3.0,19.0,8.0,7.0,-2.0,-14.0,2.0,6.0,10.0,7.0,7.0,28.0,-9.0,-21.0,-21.0,-22.0,-22.0,-23.0,-22.0,-10.0,-22.0,-23.0,-22.0,-22.0,-23.0,-23.0,-12.0,-24.0,-17.0,2.0,22.0,18.0,10.0,0.0,-12.0,-9.0,8.0,15.0,15.0,15.0,-24.0,-7.0,-9.0
Zn,-8.0,-7.0,4.0,4.0,-32.0,-88.0,6.0,-4.0,1.0,-18.0,-17.5,13.0,-22.0,-29.0,-15.0,-2.0,5.0,-6.0,4.0,-5.0,-9.0,1.0,0.0,0.0,-15.5,-6.0,14.0,-21.0,-32.0,-29.0,-1.0,12.0,-4.0,-5.0,-17.0,-33.0,-4.0,1.0,3.0,1.0,-1.0,15.0,-23.0,-31.0,-31.0,-31.0,-31.0,-32.0,-31.0,-21.0,-31.0,-31.0,-31.0,-30.0,-31.0,-30.0,-21.0,-31.0,-24.0,-3.0,15.0,8.0,-1.0,-13.0,-29.0,-16.0,1.0,6.0,5.0,4.0,-30.0,-15.0,-20.0
Ga,-8.0,-9.0,5.0,6.0,-33.0,-95.0,5.0,-4.0,1.0,-17.0,-18.5,12.0,-28.0,-38.0,-23.0,-8.0,-1.0,-13.0,-2.0,-11.0,-15.0,1.0,0.0,0.0,-15.5,-6.0,13.0,-27.0,-40.0,-40.0,-8.0,7.0,-10.0,-11.0,-25.0,-42.0,-5.0,1.0,3.0,1.0,-1.0,14.0,-30.0,-41.0,-41.0,-41.0,-40.0,-41.0,-40.0,-27.0,-40.0,-40.0,-40.0,-39.0,-40.0,-39.0,-27.0,-40.0,-34.0,-10.0,11.0,3.0,-7.0,-21.0,-38.0,-19.0,1.0,6.0,5.0,4.0,-39.0,-25.0,-29.0
Ge,-14.5,-34.5,-3.5,-0.5,-29.5,-78.5,-21.5,-26.5,-14.5,-14.5,-17.0,-19.5,-59.5,-69.5,-51.5,-31.5,-18.5,-31.5,-15.5,-21.5,-23.5,-11.5,-15.5,-15.5,0.0,-12.5,-19.5,-59.5,-72.5,-72.5,-36.5,-13.5,-18.5,-18.5,-29.5,-43.5,-17.5,-14.5,-13.5,-12.5,-10.5,-19.5,-63.5,-73.5,-73.5,-72.5,-101.5,-73.5,-72.5,-58.5,-72.5,-72.5,-71.5,-71.5,-71.5,-71.5,-58.5,-71.5,-65.5,-37.5,-7.5,-7.5,-14.5,-24.5,-37.5,-21.5,-11.5,-9.5,-7.5,-7.5,-72.5,-52.5,-56.5
As,-1.0,-29.0,7.0,10.0,-14.0,-59.0,-14.0,-21.0,-6.0,-17.0,-2.5,-11.0,-61.0,-77.0,-60.0,-35.0,-19.0,-31.0,-14.0,-18.0,-19.0,-3.0,-6.0,-6.0,-12.5,0.0,-12.0,-61.0,-80.0,-85.0,-44.0,-16.0,-15.0,-14.0,-24.0,-36.0,-8.0,-4.0,-3.0,-1.0,3.0,-12.0,-66.0,-81.0,-81.0,-81.0,-80.0,-81.0,-80.0,-60.0,-80.0,-80.0,-80.0,-79.0,-79.0,-79.0,-59.0,-80.0,-75.0,-45.0,-9.0,-6.0,-11.0,-19.0,-31.0,-11.0,0.0,3.0,6.0,7.0,-82.0,-60.0,-62.0
Rb,-16.0,13.0,28.0,28.0,-44.0,-154.0,2.0,23.0,25.0,-4.0,-24.5,0.0,15.0,64.0,100.0,100.0,94.0,69.0,83.0,57.0,47.0,27.0,14.0,13.0,-19.5,-12.0,0.0,10.0,56.0,95.0,130.0,125.0,67.0,62.0,33.0,-9.0,7.0,1.0,-4.0,-7.0,-24.0,0.0,9.0,52.0,53.0,55.0,55.0,57.0,56.0,13.0,56.0,58.0,58.0,57.0,59.0,59.0,16.0,61.0,98.0,125.0,129.0,98.0,72.0,44.0,9.0,-10.0,-11.0,-14.0,-23.0,-26.0,72.0,99.0,77.0
Sr,-45.0,0.0,-10.0,-18.0,-87.0,-206.0,-2.0,-4.0,-18.0,-49.0,-81.5,7.0,1.0,25.0,53.0,54.0,47.0,27.0,34.0,10.0,-1.0,-9.0,-21.0,-27.0,-59.5,-61.0,10.0,0.0,17.0,48.0,76.0,69.0,10.0,5.0,-22.0,-61.0,-27.0,-33.0,-37.0,-46.0,-66.0,14.0,0.0,14.0,15.0,16.0,16.0,18.0,17.0,0.0,17.0,18.0,18.0,18.0,20.0,20.0,1.0,21.0,50.0,73.0,70.0,39.0,13.0,-16.0,-50.0,-59.0,-45.0,-44.0,-56.0,-61.0,27.0,48.0,33.0
Y,-61.0,8.0,-32.0,-50.0,-117.0,-232.0,28.0,-6.0,-38.0,-73.0,-113.5,50.0,11.0,1.0,15.0,17.0,11.0,-1.0,-1.0,-22.0,-31.0,-22.0,-32.0,-40.0,-72.5,-80.0,56.0,17.0,0.0,9.0,30.0,24.0,-29.0,-34.0,-54.0,-84.0,-29.0,-35.0,-36.0,-51.0,-68.0,62.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,11.0,27.0,24.0,-4.0,-28.0,-53.0,-83.0,-74.0,-43.0,-35.0,-48.0,-54.0,1.0,11.0,4.0
Zr,-69.0,27.0,-43.0,-71.0,-131.0,-233.0,59.0,6.0,-44.0,-84.0,-127.5,88.0,37.0,4.0,0.0,-4.0,-12.0,-15.0,-25.0,-41.0,-49.0,-23.0,-29.0,-40.0,-72.5,-85.0,95.0,48.0,9.0,0.0,4.0,-6.0,-53.0,-59.0,-72.0,-91.0,-20.0,-26.0,-25.0,-43.0,-60.0,101.0,52.0,13.0,12.0,10.0,10.0,9.0,9.0,42.0,9.0,8.0,8.0,9.0,7.0,7.0,36.0,6.0,0.0,3.0,-9.0,-35.0,-55.0,-76.0,-100.0,-74.0,-31.0,-19.0,-33.0,-40.0,4.0,-3.0,-3.0
Nb,-46.0,51.0,-25.0,-54.0,-102.0,-174.0,93.0,32.0,-18.0,-56.0,-89.5,123.0,63.0,18.0,2.0,-1.0,-7.0,-4.0,-16.0,-25.0,-30.0,3.0,-1.0,-8.0,-36.5,-44.0,130.0,76.0,30.0,4.0,0.0,-6.0,-36.0,-41.0,-46.0,-53.0,16.0,11.0,15.0,-1.0,-11.0,135.0,81.0,36.0,34.0,32.0,32.0,29.0,30.0,69.0,30.0,28.0,27.0,28.0,26.0,25.0,61.0,23.0,4.0,0.0,-8.0,-26.0,-39.0,-53.0,-67.0,-32.0,11.0,26.0,17.0,12.0,20.0,4.0,9.0
Mo,-28.0,49.0,-7.0,-34.0,-67.0,-115.0,93.0,36.0,-5.0,-35.0,-53.5,120.0,56.0,11.0,-4.0,0.0,0.0,5.0,-2.0,-5.0,-7.0,19.0,12.0,7.0,-13.5,-16.0,125.0,69.0,24.0,-6.0,-6.0,0.0,-11.0,-14.0,-15.0,-15.0,37.0,28.0,33.0,20.0,17.0,128.0,73.0,31.0,29.0,26.0,26.0,23.0,24.0,63.0,24.0,22.0,22.0,22.0,20.0,19.0,55.0,17.0,-4.0,-5.0,0.0,-7.0,-14.0,-21.0,-28.0,3.0,32.0,46.0,42.0,38.0,13.0,2.0,8.0
Tc,-21.0,8.0,-3.0,-25.0,-39.0,-68.0,47.0,3.0,-20.0,-38.0,-33.5,65.0,1.0,-39.0,-39.0,-21.0,-9.0,-8.0,-3.0,0.0,1.0,8.0,-4.0,-10.0,-18.5,-15.0,67.0,10.0,-29.0,-53.0,-36.0,-11.0,0.0,0.0,0.0,4.0,24.0,10.0,11.0,5.0,8.0,69.0,11.0,-23.0,-25.0,-27.0,-27.0,-30.0,-29.0,6.0,-29.0,-30.0,-30.0,-29.0,-32.0,-32.0,1.0,-35.0,-47.0,-35.0,-7.0,0.0,0.0,-2.0,-3.0,14.0,18.0,25.0,26.0,23.0,-39.0,-31.0,-26.0
Ru,-20.0,5.0,-3.0,-24.0,-35.0,-61.0,44.0,0.0,-21.0,-38.0,-30.5,60.0,-4.0,-44.0,-43.0,-25.0,-12.0,-11.0,-5.0,-1.0,0.0,7.0,-5.0,-11.0,-18.5,-14.0,62.0,5.0,-34.0,-59.0,-41.0,-14.0,0.0,0.0,1.0,6.0,23.0,9.0,10.0,4.0,9.0,64.0,6.0,-28.0,-30.0,-32.0,-32.0,-35.0,-34.0,2.0,-34.0,-35.0,-35.0,-34.0,-37.0,-37.0,-4.0,-40.0,-52.0,-39.0,-10.0,-1.0,0.0,-1.0,-1.0,15.0,18.0,24.0,25.0,23.0,-45.0,-36.0,-30.0
Rh,-23.0,-14.0,-6.0,-25.0,-35.0,-63.0,19.0,-17.0,-32.0,-46.0,-34.5,31.0,-28.0,-61.0,-52.0,-29.0,-13.0,-16.0,-5.0,-2.0,-1.0,-2.0,-17.0,-25.0,-29.5,-24.0,33.0,-22.0,-54.0,-72.0,-46.0,-15.0,0.0,1.0,0.0,2.0,10.0,-6.0,-8.0,-13.0,-8.0,34.0,-21.0,-50.0,-52.0,-53.0,-53.0,-56.0,-54.0,-24.0,-54.0,-56.0,-55.0,-54.0,-57.0,-56.0,-28.0,-59.0,-63.0,-45.0,-9.0,1.0,2.0,1.0,-2.0,7.0,2.0,5.0,6.0,3.0,-63.0,-46.0,-42.0
Pd,-27.0,-40.0,-8.0,-24.0,-32.0,-62.0,-15.0,-40.0,-46.0,-55.0,-36.5,-9.0,-63.0,-86.0,-65.0,-35.0,-15.0,-23.0,-4.0,-1.0,0.0,-14.0,-33.0,-42.0,-43.5,-36.0,-9.0,-61.0,-84.0,-91.0,-53.0,-15.0,4.0,6.0,2.0,0.0,-7.0,-26.0,-31.0,-34.0,-28.0,-9.0,-62.0,-82.0,-83.0,-83.0,-83.0,-86.0,-84.0,-61.0,-84.0,-85.0,-84.0,-83.0,-85.0,-85.0,-62.0,-87.0,-80.0,-52.0,-6.0,6.0,8.0,6.0,2.0,0.0,-18.0,-21.0,-18.0,-21.0,-91.0,-59.0,-58.0
Ag,-10.0,-16.0,6.0,5.0,-32.0,-94.0,0.0,-10.0,-4.0,-20.0,-18.5,7.0,-28.0,-28.0,-2.0,17.0,27.0,13.0,28.0,19.0,15.0,2.0,-4.0,-5.0,-17.5,-8.0,7.0,-27.0,-29.0,-20.0,16.0,37.0,24.0,23.0,10.0,-7.0,0.0,-2.0,-2.0,-3.0,-4.0,8.0,-28.0,-30.0,-30.0,-30.0,-29.0,-30.0,-30.0,-27.0,-29.0,-29.0,-29.0,-29.0,-29.0,-29.0,-28.0,-30.0,-13.0,15.0,43.0,38.0,28.0,16.0,-1.0,-6.0,-1.0,3.0,3.0,2.0,-29.0,0.0,-6.0
Cd,-6.0,-13.0,11.0,13.0,-27.0,-91.0,-3.0,-6.0,3.0,-13.0,-11.5,1.0,-32.0,-30.0,-8.0,9.0,17.0,2.0,17.0,6.0,2.0,6.0,1.0,1.0,-14.5,-4.0,1.0,-33.0,-35.0,-26.0,11.0,28.0,10.0,9.0,-6.0,-26.0,-2.0,0.0,0.0,0.0,-2.0,1.0,-36.0,-36.0,-36.0,-35.0,-35.0,-35.0,-35.0,-32.0,-35.0,-34.0,-34.0,-33.0,-33.0,-33.0,-31.0,-33.0,-19.0,9.0,33.0,25.0,14.0,0.0,-18.0,-11.0,0.0,2.0,2.0,1.0,-32.0,-8.0,-16.0
In,-6.0,-12.0,16.0,18.0,-27.0,-98.0,-5.0,-4.0,7.0,-10.0,-10.5,-4.0,-35.0,-30.0,-5.0,12.0,20.0,3.0,19.0,7.0,2.0,10.0,3.0,3.0,-13.5,-3.0,-4.0,-37.0,-36.0,-25.0,15.0,33.0,11.0,10.0,-8.0,-31.0,-2.0,0.0,0.0,0.0,-4.0,-4.0,-42.0,-39.0,-38.0,-37.0,-37.0,-37.0,-36.0,-35.0,-36.0,-35.0,-35.0,-35.0,-34.0,-34.0,-34.0,-34.0,-18.0,13.0,38.0,29.0,16.0,0.0,-21.0,-11.0,-1.0,0.0,-1.0,-1.0,-31.0,-7.0,-16.0
